date,side,entry_time,entry_price,exit_time,exit_price,sl,tp,exit_reason,pnl_points,r_multiple
12/14/23,SHORT,2023-12-14 10:09:00-05:00,16598.670979465696,2023-12-14 10:11:00-05:00,16616.92951754311,16616.92951754311,16562.15390331087,SL,-18.25853808,-1
12/15/23,LONG,2023-12-15 09:45:00-05:00,16622.633169337238,2023-12-15 09:46:00-05:00,16604.348272850966,16604.348272850966,16659.20296230978,SL,-18.28489649,-1
12/15/23,LONG,2023-12-15 10:57:00-05:00,16657.76172546638,2023-12-15 11:07:00-05:00,16639.438187568365,16639.438187568365,16694.408801262405,SL,-18.3235379,-1
12/18/23,LONG,2023-12-18 09:36:00-05:00,16652.272950149636,2023-12-18 09:48:00-05:00,16633.95544990447,16633.95544990447,16688.907950639965,SL,-18.31750025,-1
12/18/23,LONG,2023-12-18 10:06:00-05:00,16679.010844778724,2023-12-18 10:46:00-05:00,16660.663932849468,16660.663932849468,16715.704668637238,SL,-18.34691193,-1
12/18/23,SHORT,2023-12-18 10:52:00-05:00,16662.907353926752,2023-12-18 11:15:00-05:00,16681.236552016075,16681.236552016075,16626.248957748114,SL,-18.32919809,-1
12/19/23,LONG,2023-12-19 09:45:00-05:00,16774.565567940095,2023-12-19 09:46:00-05:00,16756.113545815362,16756.113545815362,16811.46961218956,SL,-18.45202212,-1
12/19/23,LONG,2023-12-19 10:16:00-05:00,16775.26824957867,2023-12-19 10:40:00-05:00,16756.815454504133,16756.815454504133,16812.17383972774,SL,-18.45279507,-1
12/20/23,LONG,2023-12-20 09:36:00-05:00,16782.005181143115,2023-12-20 10:00:00-05:00,16818.92559254163,16763.544975443856,16818.92559254163,TP,36.92041139851426,2
12/21/23,SHORT,2023-12-21 09:50:00-05:00,16715.434357429516,2023-12-21 10:05:00-05:00,16678.66040184317,16733.821335222692,16678.66040184317,TP,36.77395558634453,2
